Week,DC,Cat_Desc,VENDOR_NAME,FCST_Ceiling,Domestic_Import,Temp Range,Case_Pallet,Speed,Service,Revised
12048,4867,BANANAS,IMPORT,320,IMPORT,48,Pallet,,,23/12/20
12049,4867,BANANAS,IMPORT,100,IMPORT,48,Pallet,,,23/12/20
12049,4867,BANANAS,IMPORT,320,IMPORT,48,Pallet,,,23/12/20
12050,4867,BANANAS,IMPORT,100,IMPORT,48,Pallet,,,23/12/20
12050,4867,BANANAS,IMPORT,320,IMPORT,48,Pallet,,,23/12/20
12051,4867,BANANAS,IMPORT,100,IMPORT,48,Pallet,,,23/12/20
12051,4867,BANANAS,IMPORT,320,IMPORT,48,Pallet,,,23/12/20
12052,4867,BANANAS,IMPORT,100,IMPORT,48,Pallet,,,23/12/20
12052,4867,BANANAS,IMPORT,320,IMPORT,48,Pallet,,,23/12/20
12048,7095,BELL PEPPER,WILSON PRODUCE LLC,13,DOMESTIC,48,Case,,,23/12/20
12049,7095,BELL PEPPER,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12050,7095,BELL PEPPER,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12051,7095,BELL PEPPER,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12052,7095,BELL PEPPER,WILSON PRODUCE LLC,14,DOMESTIC,48,Case,,,23/12/20
12101,7095,BELL PEPPER,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12102,7095,BELL PEPPER,WILSON PRODUCE LLC,15,DOMESTIC,48,Case,,,23/12/20
12103,7095,BELL PEPPER,WILSON PRODUCE LLC,14,DOMESTIC,48,Case,,,23/12/20
12048,7095,BLACKBERRIES,CALIFORNIA GIANT INC,13,DOMESTIC,34,Case,Yes,,23/12/20
12048,7095,BLACKBERRIES,DRISCOLLS INC,23,DOMESTIC,34,Case,Yes,,23/12/20
12048,7095,BLACKBERRIES,RED BLOSSOM SALES INC,15,DOMESTIC,34,Case,Yes,,23/12/20
12049,7095,BLACKBERRIES,CALIFORNIA GIANT INC,16,DOMESTIC,34,Case,Yes,,23/12/20
12049,7095,BLACKBERRIES,DRISCOLLS INC,29,DOMESTIC,34,Case,Yes,,23/12/20
12049,7095,BLACKBERRIES,RED BLOSSOM SALES INC,18,DOMESTIC,34,Case,Yes,,23/12/20
12050,7095,BLACKBERRIES,CALIFORNIA GIANT INC,16,DOMESTIC,34,Case,Yes,,23/12/20
12050,7095,BLACKBERRIES,DRISCOLLS INC,30,DOMESTIC,34,Case,Yes,,23/12/20
12050,7095,BLACKBERRIES,RED BLOSSOM SALES INC,19,DOMESTIC,34,Case,Yes,,23/12/20
12051,7095,BLACKBERRIES,CALIFORNIA GIANT INC,16,DOMESTIC,34,Case,Yes,,23/12/20
12051,7095,BLACKBERRIES,DRISCOLLS INC,30,DOMESTIC,34,Case,Yes,,23/12/20
12051,7095,BLACKBERRIES,RED BLOSSOM SALES INC,19,DOMESTIC,34,Case,Yes,,23/12/20
12052,7095,BLACKBERRIES,CALIFORNIA GIANT INC,16,DOMESTIC,34,Case,Yes,,23/12/20
12052,7095,BLACKBERRIES,DRISCOLLS INC,30,DOMESTIC,34,Case,Yes,,23/12/20
12052,7095,BLACKBERRIES,RED BLOSSOM SALES INC,19,DOMESTIC,34,Case,Yes,,23/12/20
12101,7095,BLACKBERRIES,DRISCOLLS INC,42,DOMESTIC,34,Case,Yes,,23/12/20
12101,7095,BLACKBERRIES,RED BLOSSOM SALES INC,20,DOMESTIC,34,Case,Yes,,23/12/20
12102,7095,BLACKBERRIES,DRISCOLLS INC,41,DOMESTIC,34,Case,Yes,,23/12/20
12102,7095,BLACKBERRIES,RED BLOSSOM SALES INC,20,DOMESTIC,34,Case,Yes,,23/12/20
12103,7095,BLACKBERRIES,DRISCOLLS INC,42,DOMESTIC,34,Case,Yes,,23/12/20
